@lat	@lon	name	tourism	historic	amenity
40.9448425	-7.7905342	Miradouro da Santa Bárbara	viewpoint		
41.3066174	-6.5222497	Faia d'Água Alta	viewpoint		
38.7805069	-9.4990218	Cabo da Roca	viewpoint		
38.4517512	-9.1073908		viewpoint		
37.2863808	-8.5541098	Caldas de Monchique	attraction		
37.0981897	-8.6681867		viewpoint		
41.5502384	-8.4293382	Arco da Porta Nova	attraction	city_gate	
40.2011389	-7.6392426	Casa Típica	museum		
42.0546210	-6.6342086	Puebla de Sanabria	attraction		
40.9612992	-7.7973141	Senhor da Boa Sorte		monument	
41.4465363	-8.2912227	Museu Paço dos Duques de Bragança	museum		
42.0650225	-8.1820468	Marco de fronteira Nº 2	attraction		
42.0757713	-8.1596254	Marco de fronteira Nº 7	attraction		
41.4164352	-7.9158927	Senhora da Graça	viewpoint		
40.2681997	-6.1064329	Granadilla	attraction		
42.1324497	-6.7206194	Neveira	viewpoint		
38.7409302	-9.2846730	Fábrica da Pólvora de Barcarena	museum		
38.6865605	-9.3581510		viewpoint		
38.6861259	-9.3568516		viewpoint		
38.6852879	-9.3527906		viewpoint		
39.4221029	-6.5043703	Museo Vostell Malpartida	museum		
39.5474206	-7.6258521	Senhora da Graça	viewpoint		place_of_worship
37.2858454	-8.5502222		viewpoint		
37.0160908	-7.9311018	Museu Regional do Algarve	museum		
37.0928108	-8.4655175	Algar Seco	attraction		
37.3209759	-8.8771692	Ponta da Atalaia	viewpoint		
39.4517749	-7.6964453	Complexo Termal de Nisa - Fadagosa	attraction		
39.3971088	-7.3800035	Castelo de Marvão		castle	
39.4157241	-7.4521562	Praça Alta	viewpoint		
39.2157833	-7.7856307		viewpoint		
40.6578278	-7.9134824	Painel de Azulejos de Joaquim Lopes	attraction		
41.2521328	-6.5898916	Mirador del Picón de Mariota	viewpoint		
41.2119267	-6.6813868	Mirador del Fraile	viewpoint		
41.2181010	-6.5707850	Pozo de los Humos	viewpoint		
41.2181430	-6.5712580	Pozo de los Humos	viewpoint		
