@lat	@lon	name	tourism	historic	amenity	natural	leisure
41.5385285	-8.4219647	Parque de Campismo e Caravanismo Municipal de Braga	camp_site				
39.9150028	-8.7830513		camp_site				
40.8225609	-7.6958261	Quinta Chave Grande	camp_site				
38.1839011	-8.1035355	Markadia	camp_site				
39.3134948	-7.3605482	São Mamede				peak	
41.8137477	-8.1955571	Louriça				peak	
40.0805925	-7.5250132	Gardunha				peak	
40.9739439	-7.9877718	Montemuro				peak	
41.2484625	-7.8869794	Marão				peak	
40.9448425	-7.7905342	Miradouro da Santa Bárbara	viewpoint				
32.7489793	-16.6976839	Miradouro de São Lourenço	viewpoint				
32.7390204	-16.6809527	Furado				peak	
41.2923967	-6.8108953				place_of_worship		
41.3066174	-6.5222497	Faia d'Água Alta	viewpoint				
37.0867414	-8.4436292					cave_entrance	
40.2028519	-8.4369209	Rainha Santa Isabel		memorial			
38.7805069	-9.4990218	Cabo da Roca	viewpoint				
38.4517512	-9.1073908		viewpoint				
37.2863808	-8.5541098	Caldas de Monchique	attraction				
37.0981897	-8.6681867		viewpoint				
41.5502384	-8.4293382	Arco da Porta Nova	attraction	city_gate			
32.7354261	-16.8863142	PR 11 Vereda dos Balcões	information				
40.2012976	-7.6383660	Capela do Espírito Santo			place_of_worship		
40.2034223	-7.6384460	Cruzeiro		wayside_cross			
40.2048001	-7.6372943	Fonte de Concelho		icon			
40.1956865	-7.6308694	Santuário de Nossa Senhora das Dores			place_of_worship		
40.2082338	-7.6364633	Espelho d'Água	picnic_site				
40.2469471	-8.4131606		picnic_site				
40.2029119	-8.4190872	Residencial Botânico	hotel				
41.7879894	-6.7550250		hotel				
41.8034542	-6.7484346	Porta do Sol		city_gate			
40.2011389	-7.6392426	Casa Típica	museum				
40.2354106	-8.3636870	Capela de Nossa Senhora da Lapa			place_of_worship		
40.1575561	-8.3366822	Convento de Semide			place_of_worship		
40.9612992	-7.7973141	Senhor da Boa Sorte		monument			
40.9553435	-7.7947630	Senhora dos Caminhos		wayside_shrine	place_of_worship		
41.4465363	-8.2912227	Museu Paço dos Duques de Bragança	museum				
42.0650225	-8.1820468	Marco de fronteira Nº 2	attraction				
42.0757713	-8.1596254	Marco de fronteira Nº 7	attraction				
37.1135788	-8.6799046	Piscina Municipal					water_park
32.6645685	-16.9163994	Quinta da Fonte	hotel				
32.6370934	-16.8500987	Ponta do Garajau	viewpoint				
32.7508885	-16.7080996	Ponta do Rosto	viewpoint				
32.7588812	-16.9427105		viewpoint				
41.2196122	-8.6618914	Homem da Maça e seu Bicho	artwork	icon			
41.2007218	-8.6799466	Ponte de Guifões		ruins			
39.1326838	-9.3818623	Hotel Santa Cruz	hotel				
39.1341936	-9.3816644		information				
39.1347889	-9.3819672	Capela de Santa Helena			place_of_worship		
32.6586625	-16.9394112	Pico dos Barcelos	viewpoint				
32.7102320	-16.9629480	Hotel Eira Do Serrado	hotel				
32.6387176	-16.8508585	Cristo Rei	viewpoint				
32.6385635	-16.8506765	Cristo Rei	artwork	monument			
